date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201607,7,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,24.425806451612893,187.41935483870967,1005.4967741935484,181.9354838709677,283826,2.0,0,0,0,1,0,0,0,1
201608,8,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,24.02258064516129,175.4838709677419,1003.7709677419356,263.54838709677415,426347,2.0,0,0,0,1,0,0,0,1
201609,9,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,18.006666666666664,121.66666666666669,1011.4266666666664,190.66666666666663,242191,3.0,0,0,0,1,0,0,0,1
201610,10,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,11.687096774193547,150.6451612903226,1016.3677419354835,187.09677419354838,262585,3.0,0,0,1,0,0,0,1,0
201611,11,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,6.183333333333333,189.0,1020.2266666666667,223.0,190929,3.0,0,1,0,0,0,1,0,0
201612,12,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,4.2129032258064525,159.3548387096774,1021.6161290322577,182.25806451612902,298297,4.0,1,0,0,0,1,0,0,0
201701,1,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,3.170967741935484,182.25806451612902,1022.1322580645165,233.54838709677415,456498,4.0,1,0,0,0,1,0,0,0
201702,2,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,3.3178571428571426,241.07142857142856,1019.8535714285713,249.64285714285717,344705,4.0,1,0,0,0,1,0,0,0
201703,3,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,4.490322580645162,226.1290322580645,1017.1290322580646,262.258064516129,229109,1.0,0,1,0,0,0,1,0,0
201704,4,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,7.986666666666667,212.33333333333331,1009.8899999999996,225.0,235668,1.0,0,0,1,0,0,1,0,0
201705,5,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,11.445161290322584,250.96774193548384,1009.6451612903224,249.03225806451616,260195,1.0,0,0,1,0,0,0,1,0
201706,6,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,15.666666666666664,220.33333333333331,1006.0933333333336,247.33333333333331,209942,2.0,0,0,0,1,0,0,0,1
201707,7,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,26.899999999999995,191.9354838709677,1005.4483870967745,191.9354838709677,287348,2.0,0,0,0,1,0,0,0,1
201708,8,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,23.65806451612904,129.67741935483872,1005.3870967741935,159.3548387096774,417934,2.0,0,0,0,1,0,0,0,1
201709,9,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,15.986666666666665,136.33333333333334,1010.7466666666667,181.66666666666663,190075,3.0,0,0,1,0,0,0,1,0
201710,10,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,10.732258064516133,149.66666666666666,1018.42,204.0,268676,3.0,0,0,1,0,0,0,1,0
201711,11,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,5.406666666666667,182.33333333333331,1020.1233333333334,232.66666666666663,222719,3.0,0,1,0,0,0,1,0,0
201712,12,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,3.2806451612903222,233.79310344827587,1023.5645161290324,258.6666666666667,242135,4.0,1,0,0,0,1,0,0,0
201801,1,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,2.47741935483871,257.741935483871,1021.816129032258,262.258064516129,279500,4.0,1,0,0,0,1,0,0,0
201802,2,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,2.6214285714285714,252.14285714285717,1021.2607142857142,265.7142857142857,250174,4.0,1,0,0,0,1,0,0,0
201803,3,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,6.606451612903228,215.4838709677419,1017.2709677419356,231.61290322580646,157178,1.0,0,1,0,0,0,1,0,0
201804,4,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,7.9700000000000015,215.0,1012.9400000000003,264.6666666666667,152146,1.0,0,1,0,0,0,1,0,0
201805,5,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,13.090322580645163,220.32258064516128,1008.8741935483873,234.5161290322581,300711,1.0,0,0,1,0,0,0,1,0
201806,6,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,17.30333333333333,226.33333333333331,1005.4633333333336,245.33333333333331,202170,2.0,0,0,0,1,0,0,0,1
201807,7,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,24.612903225806452,199.03225806451616,1006.7870967741934,212.25806451612902,295363,2.0,0,0,0,1,0,0,0,1
201808,8,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,24.91290322580645,186.1290322580645,1004.683870967742,213.54838709677415,494328,2.0,0,0,0,1,0,0,0,1
201809,9,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,15.443333333333333,153.66666666666666,1011.1433333333333,177.0,267912,3.0,0,0,1,0,0,0,1,0
201810,10,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,8.883870967741935,204.19354838709685,1016.1129032258065,246.7741935483871,325753,3.0,0,1,0,0,0,1,0,0
201811,11,13.153333333333334,32.73333333333333,7.793333333333335,57.47999999999999,8.78888888888889,1.3966666666666665,5.92,6.28,195.33333333333331,1021.4966666666664,254.33333333333331,194097,3.0,0,1,0,0,0,1,0,0
201812,12,4.087096774193548,26.48387096774193,-0.6064516129032259,45.75806451612904,2.733333333333334,1.803225806451613,6.4483870967741925,3.1258064516129034,211.9354838709677,1025.1774193548388,261.2903225806452,258904,4.0,1,0,0,0,1,0,0,0
201901,1,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,2.7,243.54838709677415,1023.9354838709676,276.1290322580645,295344,4.0,1,0,0,0,1,0,0,0
201902,2,6.046428571428572,26.0,0.9857142857142857,47.31071428571428,2.644444444444444,1.8428571428571427,6.803571428571429,3.2071428571428564,232.5,1021.5678571428572,250.0,290328,4.0,1,0,0,0,1,0,0,0
201903,3,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,5.10967741935484,240.96774193548384,1013.9580645161293,260.96774193548384,165737,1.0,0,1,0,0,0,1,0,0
201904,4,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,7.17,227.66666666666663,1012.51,216.66666666666663,164391,1.0,0,1,0,0,0,1,0,0
201905,5,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,10.154838709677415,243.2258064516129,1009.1774193548387,246.7741935483871,307561,1.0,0,0,1,0,0,0,1,0
201906,6,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,16.05666666666667,192.66666666666663,1004.61,224.0,197532,2.0,0,0,1,0,0,0,1,0
201907,7,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,22.63548387096775,177.74193548387098,1004.0612903225806,203.8709677419355,317321,2.0,0,0,0,1,0,0,0,1
201908,8,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,24.235483870967744,180.64516129032262,1004.6225806451616,216.1290322580645,478483,2.0,0,0,0,1,0,0,0,1
201909,9,27.100000000000005,44.13333333333333,22.64333333333333,65.27,10.753846153846156,2.183333333333333,5.63,17.836666666666673,320.3333333333333,1012.3466666666666,221.66666666666663,244301,3.0,0,0,1,0,0,0,0,1
201910,10,21.76774193548388,38.935483870967744,16.370967741935484,62.16451612903224,7.928571428571429,2.129032258064516,7.629032258064513,11.654838709677419,276.77419354838713,1016.6903225806453,211.9354838709677,289342,3.0,0,0,1,0,0,0,1,0
201911,11,12.933333333333335,33.13333333333333,7.579999999999999,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,6.1033333333333335,182.66666666666663,1019.59,245.0,197011,3.0,0,1,0,0,0,1,0,0
201912,12,5.274193548387096,37.12903225806452,1.4161290322580642,57.75483870967742,1.1894736842105265,2.1258064516129034,5.296774193548388,4.203225806451614,182.90322580645162,1022.548387096774,231.9354838709677,268274,4.0,1,0,0,0,1,0,0,0
