date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201505,5,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,1009.3774193548387,13.561290322580648,9.738709677419354,2.5029032258064516,3.6125,6.170967741935482,13.574193548387097,18.861290322580643,22.0,67999,1.0,0,0,1,0,0,0,1,0
201506,6,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,1006.6933333333333,13.96,16.246666666666666,2.4100000000000006,8.291666666666666,5.8,18.926666666666673,23.246666666666666,26.126666666666665,30575,2.0,0,0,0,1,0,0,0,1
201507,7,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,1006.4774193548387,14.906666666666665,20.837931034482764,2.0612903225806454,13.264705882352946,5.567741935483871,22.612903225806452,25.12068965517241,27.32758620689655,42171,2.0,0,0,0,1,0,0,0,1
201508,8,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,1008.2129032258064,15.638709677419355,20.11290322580645,2.0812903225806454,4.050000000000002,5.348387096774194,22.809677419354838,25.638709677419357,26.99032258064516,105943,2.0,0,0,0,1,0,0,0,1
201509,9,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,1014.0000000000003,16.75,13.206666666666667,2.282,3.7857142857142856,4.806666666666667,17.516666666666662,23.27333333333333,23.75333333333333,50170,3.0,0,0,0,1,0,0,1,0
201510,10,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,1018.4096774193547,17.53870967741935,6.012903225806452,1.8603225806451609,11.571428571428573,5.280645161290322,10.780645161290321,17.629032258064516,16.0,91148,3.0,0,0,1,0,0,0,1,0
201511,11,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,1023.4166666666664,17.810000000000006,3.03,1.0946666666666671,6.9,5.036666666666667,5.866666666666665,11.403333333333334,9.44,84552,3.0,0,1,0,0,0,1,0,0
201512,12,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,1025.5774193548384,17.649999999999995,-5.406451612903223,1.238709677419355,1.94,4.680645161290324,-2.1193548387096786,4.82258064516129,2.161290322580645,45545,4.0,1,0,0,0,1,0,0,0
201601,1,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,1025.5193548387097,16.55483870967742,-10.309677419354838,1.4109677419354838,0.125,4.916129032258065,-6.8096774193548395,1.270967741935484,-1.4645161290322581,50885,4.0,1,0,0,0,1,0,0,0
201602,2,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1024.244827586207,15.355172413793099,-7.93103448275862,1.6168965517241385,4.76,5.613793103448275,-4.075862068965519,1.2862068965517244,0.6689655172413794,62976,4.0,1,0,0,0,1,0,0,0
