date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201312,12,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,1.3483870967741935,17.822580645161292,9.635483870967745,8.206451612903225,0.3967741935483876,5.22258064516129,23245,4.0,1,0,0,0,1,0,0,0
201401,1,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,1.4806451612903222,16.75483870967742,9.90967741935484,7.777419354838708,-0.9129032258064514,4.941935483870967,38632,4.0,1,0,0,0,1,0,0,0
201402,2,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.9464285714285712,15.51428571428571,10.810714285714289,8.096428571428572,2.1,5.1714285714285735,24261,4.0,1,0,0,0,1,0,0,0
201403,3,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,3.0741935483870964,14.33548387096774,11.961290322580645,10.203225806451618,9.380645161290321,6.441935483870967,29177,1.0,0,1,0,0,0,1,0,0
201404,4,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,3.31,13.673333333333336,13.166666666666664,9.436666666666666,17.943333333333328,6.113333333333332,24761,1.0,0,1,0,0,0,1,0,0
201405,5,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,4.693548387096773,13.635483870967743,14.187096774193545,10.496774193548386,23.28387096774193,6.793548387096774,26111,1.0,0,0,1,0,0,0,1,0
201406,6,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,3.746666666666667,14.033333333333333,14.740000000000006,8.683333333333334,25.90333333333333,5.553333333333336,29942,2.0,0,0,0,1,0,0,0,1
201407,7,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,3.693548387096774,14.99677419354839,14.477419354838707,8.909677419354837,29.21290322580645,5.587096774193548,35226,2.0,0,0,0,1,0,0,0,1
201408,8,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,2.7935483870967746,16.464516129032262,13.596774193548384,8.058064516129035,26.629032258064512,4.903225806451613,63877,2.0,0,0,0,1,0,0,0,1
201409,9,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,2.9733333333333323,17.436666666666667,12.44,7.386666666666668,24.87333333333333,4.5,22734,3.0,0,0,1,0,0,0,1,0
201410,10,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,2.580645161290323,18.093548387096774,11.238709677419353,8.290322580645162,16.79354838709677,5.038709677419355,26868,3.0,0,0,1,0,0,0,1,0
201411,11,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,1.4599999999999995,18.176666666666673,10.183333333333332,8.403333333333332,8.49,5.1433333333333335,33254,3.0,0,1,0,0,0,1,0,0
201412,12,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.1225806451612903,17.693548387096776,9.635483870967745,9.399999999999997,-1.319354838709677,5.741935483870969,24527,4.0,1,0,0,0,1,0,0,0
201501,1,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1.0903225806451613,16.78064516129032,9.906451612903227,8.132258064516128,-0.4258064516129031,5.196774193548388,44478,4.0,1,0,0,0,1,0,0,0
201502,2,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1.5428571428571427,15.546428571428569,10.803571428571427,9.089285714285714,1.9535714285714283,5.653571428571429,24157,4.0,1,0,0,0,1,0,0,0
201503,3,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,2.8193548387096787,14.445161290322584,11.954838709677418,10.096774193548391,7.790322580645162,6.370967741935482,22159,1.0,0,1,0,0,0,1,0,0
201504,4,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,3.4933333333333327,13.710000000000004,13.159999999999998,10.510000000000002,14.876666666666665,6.523333333333335,24094,1.0,0,1,0,0,0,1,0,0
201505,5,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,4.8161290322580665,13.561290322580648,14.187096774193545,9.645161290322582,23.835483870967746,6.170967741935482,29008,1.0,0,0,1,0,0,0,1,0
201506,6,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,4.800000000000002,13.96,14.733333333333338,9.543333333333337,27.316666666666666,5.8,6857,2.0,0,0,0,1,0,0,0,1
201507,7,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,3.335483870967741,14.906666666666665,14.48064516129032,9.006451612903227,27.92580645161291,5.567741935483871,28674,2.0,0,0,0,1,0,0,0,1
201508,8,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,3.358064516129033,15.638709677419355,13.6,8.72258064516129,28.03870967741935,5.348387096774194,48488,2.0,0,0,0,1,0,0,0,1
201509,9,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,3.840000000000001,16.75,12.45,8.336666666666668,25.100000000000005,4.806666666666667,21641,3.0,0,0,0,1,0,0,1,0
201510,10,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,2.709677419354838,17.53870967741935,11.251612903225805,8.719354838709675,16.283870967741937,5.280645161290322,27564,3.0,0,0,1,0,0,0,1,0
201511,11,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,0.9233333333333332,17.810000000000006,10.193333333333333,7.960000000000003,9.490000000000002,5.036666666666667,27430,3.0,0,1,0,0,0,1,0,0
201512,12,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,0.9903225806451614,17.649999999999995,9.641935483870967,7.716129032258066,2.190322580645162,4.680645161290324,22587,4.0,1,0,0,0,1,0,0,0
201601,1,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,1.2733333333333337,16.55483870967742,9.906451612903227,8.035483870967742,-1.4290322580645165,4.916129032258065,34358,4.0,1,0,0,0,1,0,0,0
201602,2,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1.5655172413793106,15.355172413793099,10.810344827586208,9.555172413793104,1.1103448275862071,5.613793103448275,20210,4.0,1,0,0,0,1,0,0,0
201603,3,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,2.677419354838709,14.145161290322578,11.983870967741936,8.461290322580645,9.083870967741936,5.10967741935484,19372,1.0,0,1,0,0,0,1,0,0
201604,4,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,3.2466666666666675,13.283333333333335,13.19,9.056666666666667,16.99,5.44,28567,1.0,0,0,1,0,0,0,1,0
201605,5,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,4.216129032258065,13.125806451612899,14.212903225806446,9.119354838709679,23.177419354838708,5.148387096774194,25663,1.0,0,0,1,0,0,0,1,0
201606,6,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,4.413333333333332,13.63333333333333,14.733333333333334,7.953333333333332,28.19,4.8966666666666665,26647,2.0,0,0,0,1,0,0,0,1
201607,7,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,4.322580645161288,14.829032258064515,14.467741935483868,7.7483870967741915,28.34193548387097,4.390322580645162,32745,2.0,0,0,0,1,0,0,0,1
201608,8,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,5.429032258064518,16.00967741935484,13.574193548387097,8.074193548387097,31.929032258064517,4.635483870967742,47091,2.0,0,0,0,1,0,0,0,1
201609,9,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,4.263333333333334,17.206666666666667,12.423333333333336,7.456666666666666,24.85333333333334,4.25,22388,3.0,0,0,0,1,0,0,0,1
201610,10,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,3.4322580645161302,18.012903225806454,11.219354838709677,7.65483870967742,16.996774193548383,4.329032258064517,26965,3.0,0,0,1,0,0,0,1,0
201611,11,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,2.32,18.300000000000008,10.176666666666666,7.696666666666667,7.239999999999997,4.616666666666666,24905,3.0,0,1,0,0,0,1,0,0
201612,12,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,1.6129032258064513,17.919354838709676,9.635483870967745,7.458064516129035,1.5870967741935482,4.541935483870968,20579,4.0,1,0,0,0,1,0,0,0
201701,1,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,1.6838709677419357,16.92903225806451,9.919354838709678,8.264516129032259,-0.7387096774193547,4.84516129032258,29396,4.0,1,0,0,0,1,0,0,0
