"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","8**","단독","8m미만","37.03","56","201610","22","14,300","1968","솔샘로35가길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","46.54","56","201606","24","15,000","1970","삼양로",""
"서울특별시 강북구 미아동","1***","단독","8m미만","42.58","56.35","201603","16","16,800","1972","삼양로16길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","38.07","57","201604","5","20,000","1986","솔매로",""
"서울특별시 강북구 미아동","8*","단독","8m미만","47.36","57","201612","28","29,200","1984","오현로6길",""
"서울특별시 강북구 미아동","7**","단독","12m미만","29.75","59","201602","29","24,080","1950","인수봉로12길",""
"서울특별시 강북구 미아동","6**","단독","8m미만","43.04","60","201608","17","21,680","1970","삼양로20가길",""
"서울특별시 강북구 미아동","4**","단독","8m미만","44.63","60","201605","2","21,000","1967","솔샘로64나길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","121.7","61","201612","29","19,500","1990","솔샘로47나길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","54","61.6","201605","10","18,200","1950","솔매로31길",""
"서울특별시 강북구 미아동","3**","단독","8m미만","49.03","61.8","201609","9","25,000","1968","솔매로44길",""
"서울특별시 강북구 미아동","3**","단독","8m미만","65.19","62.5","201607","9","19,000","1969","솔샘로65길",""
"서울특별시 강북구 미아동","*","단독","8m미만","36.1","63","201602","2","17,000","1968","오패산로28길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","39.93","63","201605","18","13,000","1959","도봉로67가길",""
"서울특별시 강북구 미아동","7*","단독","8m미만","40.76","63","201605","20","23,750","1968","오현로6길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","25.26","65","201611","2","14,700","1969","솔매로7가길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","33.66","66","201612","9","20,000","1985","인수봉로20길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","45.05","66","201604","2","25,000","1971","도봉로41길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","45.8","66","201607","12","16,000","1984","도봉로67가길",""
"서울특별시 강북구 미아동","7*","단독","8m미만","45.95","66","201612","28","31,800","1967","도봉로10다길",""
"서울특별시 강북구 미아동","7**","단독","12m미만","56.73","66","201603","21","18,200","1957","삼양로68길",""
