"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","3-419","0003","0419","경안빌라","71.47","37.03","201611","17","21,638","3","2002","오현로9라길 26",""
"서울특별시 강북구 미아동","3-419","0003","0419","경안빌라","71.47","37.03","201611","22","29,840","5","2002","오현로9라길 26",""
"서울특별시 강북구 미아동","127-8","0127","0008","경일리치빌","36.3","21.97","201611","23","21,000","6","2014","도봉로46길 50",""
"서울특별시 강북구 미아동","327-27","0327","0027","경일리치빌2","29.95","17.87","201605","19","19,000","2","2016","도봉로23길 24-7",""
"서울특별시 강북구 미아동","327-27","0327","0027","경일리치빌2","49.64","29.62","201605","20","26,400","2","2016","도봉로23길 24-7",""
"서울특별시 강북구 미아동","327-27","0327","0027","경일리치빌2","48.96","29.21","201606","15","25,600","2","2016","도봉로23길 24-7",""
"서울특별시 강북구 미아동","327-27","0327","0027","경일리치빌2","29.95","17.87","201608","3","19,500","3","2016","도봉로23길 24-7",""
"서울특별시 강북구 미아동","137-84","0137","0084","경일스톤빌7차","67.1","35.04","201612","27","27,000","2","2003","도봉로24길 24-7",""
"서울특별시 강북구 미아동","234-26","0234","0026","경화빌라","48.6","23.63","201610","26","14,300","1","1994","솔매로41길 73",""
"서울특별시 강북구 미아동","228-89","0228","0089","경화빌라(2차)","43.54","18.6","201608","2","9,000","-1","1995","솔매로41길 31-43",""
"서울특별시 강북구 미아동","135-89","0135","0089","고탑베스트빌101동","74.39","37.85","201612","15","24,700","2","1998","도봉로20가길 36",""
"서울특별시 강북구 미아동","226-53","0226","0053","골든펠리스빌","43.83","27","201604","22","17,800","2","2009","솔매로35길 8",""
"서울특별시 강북구 미아동","226-53","0226","0053","골든펠리스빌","43.83","27","201606","7","17,000","2","2009","솔매로35길 8",""
"서울특별시 강북구 미아동","226-53","0226","0053","골든펠리스빌","43.83","27","201608","10","17,500","2","2009","솔매로35길 8",""
"서울특별시 강북구 미아동","235-5","0235","0005","공간행복","60.09","33.19","201606","6","19,700","2","2009","도봉로63길 54",""
"서울특별시 강북구 미아동","235-5","0235","0005","공간행복","52.2","28.83","201607","28","18,500","2","2009","도봉로63길 54",""
"서울특별시 강북구 미아동","125-3","0125","0003","광성하이츠빌라","57.69","30.67","201602","12","17,500","1","1993","솔매로52길 30",""
"서울특별시 강북구 미아동","791-2973","0791","2973","광운빌라","59.37","22.75","201609","5","15,500","1","2000","인수봉로20나길 10",""
"서울특별시 강북구 미아동","3-19","0003","0019","그랜드빌라","60.57","28.67","201601","12","16,200","3","1991","오현로9길 16",""
"서울특별시 강북구 미아동","3-19","0003","0019","그랜드빌라","60.57","28.67","201608","29","14,780","-1","1991","오현로9길 16",""
"서울특별시 강북구 미아동","92-21","0092","0021","그랜드빌라(2차)","73.82","29.47","201608","8","14,800","-1","1992","오현로6길 2",""
"서울특별시 강북구 미아동","305-52","0305","0052","그랜드하우스(305-52)","42.03","28.44","201606","25","18,400","3","2011","도봉로45길 18-3",""
"서울특별시 강북구 미아동","329-18","0329","0018","그랜드하우스(329-18)","57.51","35.66","201601","26","22,500","3","2008","도봉로23길 37",""
"서울특별시 강북구 미아동","329-18","0329","0018","그랜드하우스(329-18)","57.51","35.66","201609","6","20,000","3","2008","도봉로23길 37",""
"서울특별시 강북구 미아동","84-47","0084","0047","그린빌(84-47)","32.71","26.54","201601","16","13,800","3","2008","오패산로38길 18-8",""
"서울특별시 강북구 미아동","791-1076","0791","1076","그린빌라3차","72.69","33.13","201610","25","21,000","1","2007","삼양로65길 10",""
"서울특별시 강북구 미아동","306-5","0306","0005","그린시티빌","54.9","30.75","201611","11","23,500","3","2010","도봉로49길 37",""
"서울특별시 강북구 미아동","258-81","0258","0081","극동빌라(가,나)","44.16","36.52","201608","15","12,300","2","1992","오패산로52바길 27-6",""
"서울특별시 강북구 미아동","715","0715","0000","금강빌라","72.47","39.48","201605","17","18,000","2","1997","솔샘로53길 4-3",""
"서울특별시 강북구 미아동","715","0715","0000","금강빌라","72.47","39.48","201607","19","21,000","1","1997","솔샘로53길 4-3",""
"서울특별시 강북구 미아동","715","0715","0000","금강빌라","68.66","37.41","201607","26","20,000","4","1997","솔샘로53길 4-3",""
"서울특별시 강북구 미아동","715","0715","0000","금강빌라","65.75","35.82","201611","2","23,000","3","1997","솔샘로53길 4-3",""
"서울특별시 강북구 미아동","791-1381","0791","1381","금성빌라","36","25.65","201602","18","4,600","-1","1995","솔매로7나길 6",""
"서울특별시 강북구 미아동","325-21","0325","0021","금성빌라(325-21)","38.22","20.25","201606","8","12,500","3","1991","도봉로27길 43",""
"서울특별시 강북구 미아동","325-21","0325","0021","금성빌라(325-21)","38.22","10.41","201611","12","14,000","3","1991","도봉로27길 43",""
"서울특별시 강북구 미아동","138-59","0138","0059","금정빌라","52.71","24.3","201608","30","19,000","2","1993","도봉로18길 21-11",""
"서울특별시 강북구 미아동","87-13","0087","0013","남미빌라","52.5","37.3","201605","24","16,500","1","1992","오현로8길 10",""
"서울특별시 강북구 미아동","791-1926","0791","1926","남북빌라","53.21","22.39","201603","24","15,300","1","2002","인수봉로12길 11",""
"서울특별시 강북구 미아동","198-29","0198","0029","남양빌라","44.25","18.09","201612","3","7,750","-1","1995","솔매로 147",""
"서울특별시 강북구 미아동","3-444","0003","0444","남양빌라(3-444)","40.14","22.26","201606","1","10,600","3","1992","오현로9가길 20",""
"서울특별시 강북구 미아동","3-444","0003","0444","남양빌라(3-444)","37.08","20.57","201606","10","11,700","4","1992","오현로9가길 20",""
"서울특별시 강북구 미아동","3-444","0003","0444","남양빌라(3-444)","40.14","22.26","201608","27","10,720","1","1992","오현로9가길 20",""
"서울특별시 강북구 미아동","3-444","0003","0444","남양빌라(3-444)","40.14","22.28","201609","6","14,200","-1","1992","오현로9가길 20",""
"서울특별시 강북구 미아동","3-444","0003","0444","남양빌라(3-444)","38.7","21.47","201611","17","11,786","1","1992","오현로9가길 20",""
"서울특별시 강북구 미아동","3-515","0003","0515","남양빌라(3-515)","32.64","24.81","201606","11","10,845","-1","1993","오현로9다길 31",""
"서울특별시 강북구 미아동","3-410","0003","0410","남양빌라B동","36.12","27.5","201611","16","12,616","2","1992","오현로9가길 17",""
"서울특별시 강북구 미아동","3-410","0003","0410","남양빌라B동","36.12","27.5","201611","16","13,567","2","1992","오현로9가길 17",""
"서울특별시 강북구 미아동","3-410","0003","0410","남양빌라B동","36.12","27.5","201611","16","11,357","-1","1992","오현로9가길 17",""
"서울특별시 강북구 미아동","3-410","0003","0410","남양빌라B동","36.12","27.5","201611","17","12,999","2","1992","오현로9가길 17",""
"서울특별시 강북구 미아동","436-74","0436","0074","남영아트빌","43.6","20.64","201609","24","24,000","2","2002","솔샘로64나길 52-4",""
"서울특별시 강북구 미아동","319-41","0319","0041","뉴그랜드하우스","38.66","23.57","201612","19","17,500","6","2015","도봉로35길 24",""
"서울특별시 강북구 미아동","305-14","0305","0014","뉴그랜드하우스(305-14)","24.46","16.22","201609","2","18,000","3","2016","도봉로47길 15",""
"서울특별시 강북구 미아동","305-14","0305","0014","뉴그랜드하우스(305-14)","24.46","16.21","201609","9","17,500","4","2016","도봉로47길 15",""
"서울특별시 강북구 미아동","305-14","0305","0014","뉴그랜드하우스(305-14)","24.46","16.21","201610","7","17,850","2","2016","도봉로47길 15",""
"서울특별시 강북구 미아동","305-14","0305","0014","뉴그랜드하우스(305-14)","39.42","26.13","201610","12","28,000","5","2016","도봉로47길 15",""
"서울특별시 강북구 미아동","305-14","0305","0014","뉴그랜드하우스(305-14)","20.62","13.69","201611","28","17,100","5","2016","도봉로47길 15",""
"서울특별시 강북구 미아동","791-1478","0791","1478","다솜빌라(791-1478)","84.62","38.47","201608","31","21,450","4","2009","솔매로9길 8",""
"서울특별시 강북구 미아동","136-17","0136","0017","다우빌라","75.21","45.63","201612","26","27,000","-1","2007","도봉로28나길 22",""
"서울특별시 강북구 미아동","329-45","0329","0045","다우힐스빌","40.92","24.9","201610","1","16,600","5","2008","도봉로23가길 8",""
"서울특별시 강북구 미아동","329-45","0329","0045","다우힐스빌","39.96","24.3","201610","1","16,300","4","2008","도봉로23가길 8",""
"서울특별시 강북구 미아동","329-45","0329","0045","다우힐스빌","39.96","24.3","201610","6","16,400","3","2008","도봉로23가길 8",""
"서울특별시 강북구 미아동","329-45","0329","0045","다우힐스빌","39.96","24.3","201610","10","16,500","2","2008","도봉로23가길 8",""
"서울특별시 강북구 미아동","791-1843","0791","1843","다집아트","54.26","21.64","201608","19","16,000","3","1999","인수봉로14길 28",""
"서울특별시 강북구 미아동","321-16","0321","0016","대광맨션(321-16)","29.92","25.36","201605","2","15,000","2","2012","도봉로33길 39",""
"서울특별시 강북구 미아동","321-16","0321","0016","대광맨션(321-16)","29.92","25.36","201605","23","14,000","4","2012","도봉로33길 39",""
"서울특별시 강북구 미아동","321-16","0321","0016","대광맨션(321-16)","54.76","46.41","201608","3","23,000","3","2012","도봉로33길 39",""
"서울특별시 강북구 미아동","373-37","0373","0037","대광맨션(373-37)","53.69","31.28","201611","8","29,000","4","2016","솔샘로65길 7",""
"서울특별시 강북구 미아동","791-715","0791","0715","대광빌라","55.3","35.58","201607","27","20,300","2","1997","솔매로31가길 5-3",""
"서울특별시 강북구 미아동","791-715","0791","0715","대광빌라","55.3","35.58","201608","5","19,500","3","1997","솔매로31가길 5-3",""
