date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),최대 풍속(m/s),평균 상대습도 시각(hhmi),합계 일사량(MJ/m2),창덕궁
201710,10,22.530000000000005,16.409677419354836,33.733333333333334,56.25806451612903,3.3125,1.9366666666666663,7.423333333333333,204.0,4.276666666666666,1418.5666666666666,7.773225806451612,347108
201711,11,10.46,5.626666666666667,32.166666666666664,53.42666666666664,2.9071428571428575,2.076666666666666,6.070370370370371,232.66666666666666,4.526666666666666,1337.7,5.59,155092
201712,12,2.1580645161290324,-1.929032258064516,33.16129032258065,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,258.6666666666667,4.0233333333333325,1319.483870967742,4.893225806451614,55675
201801,1,0.1419354838709677,-3.9774193548387093,28.93548387096774,48.03225806451612,0.7727272727272727,1.8709677419354838,6.43793103448276,262.258064516129,4.199999999999999,1310.9032258064517,5.482413793103449,40648
201802,2,3.2821428571428575,-1.6464285714285718,24.392857142857142,44.914285714285704,4.933333333333334,2.1785714285714284,7.192592592592593,265.7142857142857,4.503571428571429,1407.9642857142858,11.454814814814814,68181
201803,3,13.59677419354839,8.080645161290322,33.67741935483871,59.20645161290322,4.95,1.919354838709678,6.745161290322581,231.61290322580646,4.183870967741936,1392.6774193548388,14.400322580645161,70020
201804,4,18.513333333333335,12.986666666666666,29.833333333333332,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,264.6666666666667,4.503333333333333,1276.0,17.106333333333332,133555
201805,5,23.290322580645167,18.167741935483875,40.87096774193548,63.435483870967744,15.857142857142858,1.719354838709677,7.470967741935484,234.51612903225808,4.206451612903226,1302.6129032258063,18.10451612903226,128136
201806,6,28.369999999999997,23.136666666666663,39.53333333333333,63.03333333333331,14.291666666666666,1.6799999999999997,7.886666666666668,245.33333333333334,4.046666666666668,1347.9333333333334,20.086333333333325,68627
201807,7,32.13225806451613,27.796774193548387,49.29032258064516,67.45161290322578,18.56,1.4612903225806453,7.616666666666668,212.25806451612902,3.3032258064516133,1383.3870967741937,18.099999999999998,33991
201808,8,33.30322580645161,28.761290322580656,45.16129032258065,64.71935483870966,12.6625,1.6903225806451612,7.5,213.5483870967742,4.006451612903225,1390.6451612903227,16.682580645161288,36869
201809,9,26.04,21.496666666666666,38.9,60.66,5.708333333333333,1.5633333333333332,7.290000000000001,177.0,3.450000000000001,1354.6666666666667,15.698666666666668,164660
201810,10,18.612903225806456,13.05483870967742,34.354838709677416,59.348387096774175,10.954545454545455,1.5451612903225809,7.803225806451613,246.7741935483871,3.829032258064516,1236.3548387096773,13.010967741935485,162503
201811,11,13.153333333333336,7.793333333333335,32.733333333333334,57.47999999999999,8.78888888888889,1.3966666666666663,5.92,254.33333333333334,3.4966666666666675,1303.9333333333334,8.845,129743
201812,12,4.087096774193548,-0.6064516129032259,26.483870967741936,45.75806451612903,2.733333333333334,1.803225806451613,6.4483870967741925,261.2903225806452,3.9,1321.7096774193549,8.181935483870967,38884
201901,1,4.087096774193548,-0.896774193548387,25.70967741935484,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,276.1290322580645,4.190322580645161,1393.4193548387098,9.201612903225806,38405
201902,2,6.046428571428572,0.9857142857142855,26.0,47.31071428571427,2.644444444444444,1.8428571428571427,6.803571428571429,250.0,4.1071428571428585,1296.9285714285713,11.427142857142854,78028
201903,3,12.445161290322583,7.093548387096774,25.838709677419356,51.303225806451614,2.68,2.087096774193548,6.574193548387096,260.96774193548384,4.72258064516129,1416.483870967742,13.474838709677421,74191
201904,4,17.639999999999997,12.120000000000001,27.366666666666667,50.943333333333335,3.6384615384615375,1.8766666666666665,7.386666666666667,216.66666666666666,4.456666666666666,1434.0666666666666,16.737333333333332,130386
201905,5,25.641935483870967,19.419354838709676,24.774193548387096,46.48709677419355,5.3999999999999995,2.0580645161290323,10.129032258064516,246.7741935483871,4.580645161290324,1308.0,22.625483870967745,143546
201906,6,27.706666666666663,22.503333333333334,38.63333333333333,60.60666666666666,5.2857142857142865,1.7366666666666668,7.836666666666667,224.0,4.003333333333333,1451.8666666666666,19.634,83135
201907,7,30.087096774193547,25.877419354838707,50.03225806451613,69.09354838709676,10.231578947368419,1.8290322580645166,4.841935483870966,203.8709677419355,3.9483870967741934,1270.1935483870968,13.773870967741937,48693
201908,8,31.635483870967736,27.190322580645162,44.645161290322584,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,216.1290322580645,3.819354838709678,1358.5483870967741,16.76689655172414,70899
201909,9,27.100000000000005,22.64333333333333,44.13333333333333,65.27,10.753846153846155,2.183333333333333,5.63,221.66666666666666,4.253333333333334,1310.4333333333334,12.892666666666667,159379
201910,10,21.767741935483876,16.370967741935484,38.935483870967744,62.16451612903224,7.92857142857143,2.129032258064516,7.629032258064515,211.93548387096774,4.412903225806451,1333.5806451612902,12.755806451612901,195038
201911,11,12.933333333333334,7.579999999999999,33.13333333333333,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,245.0,4.533333333333333,1308.3,9.475999999999999,162858
201912,12,5.274193548387096,1.4161290322580642,37.12903225806452,57.754838709677415,1.1894736842105265,2.125806451612903,5.296774193548389,231.93548387096774,4.400000000000001,1170.3548387096773,7.201612903225806,53852
