date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최대 순간풍속 풍향(16방위),평균 중기압(hPa),최저 해면기압(hPa),국립중앙박물관
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,231.29032258064515,255.48387096774192,10.958064516129033,1006.9677419354838,260240
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,204.0,216.0,16.84,1004.45,86464
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,168.06451612903226,180.32258064516128,23.419354838709676,1004.4290322580645,261826
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,141.29032258064515,212.58064516129033,23.461290322580645,1006.5580645161291,449973
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,126.0,188.66666666666666,14.81333333333333,1011.7599999999999,221311
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,192.90322580645162,257.0967741935484,10.770967741935484,1015.790322580645,242371
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,152.66666666666666,179.0,8.630000000000003,1020.9033333333334,222495
201512,12,5.996774193548388,1.5935483870967744,38.74193548387097,59.864516129032246,2.6454545454545455,2.3451612903225807,5.73548387096774,151.93548387096774,162.25806451612902,4.251612903225807,1022.7838709677421,281457
201601,1,1.125806451612903,-3.2000000000000006,33.064516129032256,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612904,208.70967741935485,251.29032258064515,2.8290322580645157,1023.2225806451611,363327
201602,2,5.075862068965518,0.19310344827586204,30.724137931034484,52.051724137931025,3.966666666666667,2.7551724137931037,6.73103448275862,271.0344827586207,275.51724137931035,3.513793103448275,1020.9965517241379,255070
201603,3,12.612903225806454,7.0451612903225795,28.225806451612904,51.01612903225805,6.750000000000001,2.4419354838709677,8.183870967741935,260.64516129032256,294.83870967741933,5.177419354838709,1019.1999999999999,162000
201604,4,20.316666666666666,14.066666666666665,30.533333333333335,54.756666666666646,6.9818181818181815,2.4200000000000004,7.316666666666667,241.0,246.66666666666666,8.313333333333334,1009.573333333333,200794
201605,5,25.687096774193545,19.558064516129033,31.225806451612904,56.21935483870967,14.590909090909092,2.3677419354838714,9.035483870967743,221.29032258064515,250.32258064516128,11.970967741935487,1008.1806451612906,293244
201606,6,28.680000000000003,23.596666666666668,41.1,62.86666666666665,4.533333333333334,2.13,7.656666666666667,214.66666666666666,243.66666666666666,17.916666666666668,1005.5066666666667,233800
201607,7,29.82258064516129,26.235483870967744,54.064516129032256,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,187.41935483870967,181.93548387096774,24.4258064516129,1005.4967741935485,283826
201608,8,32.63548387096775,27.99677419354839,41.67741935483871,63.88387096774194,4.19375,2.0580645161290323,7.616129032258065,175.48387096774192,263.5483870967742,24.022580645161288,1003.7709677419354,426347
201609,9,27.88999999999999,23.083333333333332,43.63333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,121.66666666666667,190.66666666666666,18.006666666666664,1011.4266666666665,242191
201610,10,21.309677419354838,16.080645161290327,40.45161290322581,62.232258064516124,7.4799999999999995,2.1193548387096772,6.31290322580645,150.6451612903226,187.09677419354838,11.687096774193549,1016.3677419354838,262585
201611,11,11.606666666666667,6.7733333333333325,37.53333333333333,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,189.0,223.0,6.183333333333333,1020.2266666666667,190929
201612,12,5.8,1.2451612903225806,40.096774193548384,59.15806451612903,4.364285714285715,2.225806451612903,5.367741935483871,159.3548387096774,182.25806451612902,4.2129032258064525,1021.6161290322578,298297
201701,1,2.916129032258064,-1.8290322580645162,35.064516129032256,54.606451612903214,1.146153846153846,2.3,6.741935483870967,182.25806451612902,233.5483870967742,3.170967741935484,1022.1322580645162,456498
201702,2,4.80357142857143,-0.2464285714285713,30.285714285714285,53.664285714285704,1.8499999999999999,2.4464285714285707,7.5,241.07142857142858,249.64285714285714,3.3178571428571426,1019.8535714285714,344705
201703,3,12.309677419354838,6.325806451612903,25.129032258064516,48.103225806451604,0.9875,2.367741935483872,8.23225806451613,226.1290322580645,262.258064516129,4.490322580645162,1017.1290322580646,229109
201704,4,19.949999999999996,13.933333333333335,27.666666666666668,52.373333333333335,6.16,2.55,8.656666666666665,212.33333333333334,225.0,7.986666666666667,1009.8899999999998,235668
201705,5,25.435483870967737,19.490322580645163,30.419354838709676,52.28709677419353,2.3000000000000003,2.4290322580645163,9.725806451612904,250.96774193548387,249.03225806451613,11.445161290322586,1009.6451612903224,260195
201706,6,28.75,23.273333333333333,33.46666666666667,56.60333333333333,5.123076923076923,2.3733333333333335,9.506666666666666,220.33333333333334,247.33333333333334,15.666666666666666,1006.0933333333336,209942
201707,7,30.393548387096775,26.922580645161293,59.67741935483871,77.1774193548387,27.0,2.0,3.970967741935484,191.93548387096774,191.93548387096774,26.899999999999995,1005.4483870967744,287348
201708,8,29.654838709677428,25.916129032258066,50.83870967741935,70.81935483870967,15.631578947368421,2.2548387096774194,5.361290322580647,129.67741935483872,159.3548387096774,23.658064516129034,1005.3870967741937,417934
201709,9,27.433333333333326,22.10333333333334,39.1,60.929999999999986,3.888888888888889,1.9800000000000002,8.058620689655173,136.33333333333334,181.66666666666666,15.986666666666666,1010.7466666666667,190075
201710,10,22.530000000000005,16.409677419354836,33.733333333333334,56.25806451612903,3.3125,1.9366666666666663,7.423333333333333,149.66666666666666,204.0,10.732258064516133,1018.4200000000001,268676
201711,11,10.46,5.626666666666667,32.166666666666664,53.42666666666664,2.9071428571428575,2.076666666666666,6.070370370370371,182.33333333333334,232.66666666666666,5.406666666666667,1020.1233333333334,222719
201712,12,2.1580645161290324,-1.929032258064516,33.16129032258065,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,233.79310344827587,258.6666666666667,3.2806451612903222,1023.5645161290323,242135
201801,1,0.1419354838709677,-3.9774193548387093,28.93548387096774,48.03225806451612,0.7727272727272727,1.8709677419354838,6.43793103448276,257.741935483871,262.258064516129,2.47741935483871,1021.8161290322581,279500
201802,2,3.2821428571428575,-1.6464285714285718,24.392857142857142,44.914285714285704,4.933333333333334,2.1785714285714284,7.192592592592593,252.14285714285714,265.7142857142857,2.6214285714285714,1021.2607142857142,250174
201803,3,13.59677419354839,8.080645161290322,33.67741935483871,59.20645161290322,4.95,1.919354838709678,6.745161290322581,215.48387096774192,231.61290322580646,6.606451612903226,1017.2709677419357,157178
201804,4,18.513333333333335,12.986666666666666,29.833333333333332,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,215.0,264.6666666666667,7.9700000000000015,1012.9400000000002,152146
201805,5,23.290322580645167,18.167741935483875,40.87096774193548,63.435483870967744,15.857142857142858,1.719354838709677,7.470967741935484,220.32258064516128,234.51612903225808,13.090322580645163,1008.8741935483872,300711
201806,6,28.369999999999997,23.136666666666663,39.53333333333333,63.03333333333331,14.291666666666666,1.6799999999999997,7.886666666666668,226.33333333333334,245.33333333333334,17.30333333333333,1005.4633333333334,202170
201807,7,32.13225806451613,27.796774193548387,49.29032258064516,67.45161290322578,18.56,1.4612903225806453,7.616666666666668,199.03225806451613,212.25806451612902,24.612903225806456,1006.7870967741934,295363
201808,8,33.30322580645161,28.761290322580656,45.16129032258065,64.71935483870966,12.6625,1.6903225806451612,7.5,186.1290322580645,213.5483870967742,24.91290322580645,1004.683870967742,494328
201809,9,26.04,21.496666666666666,38.9,60.66,5.708333333333333,1.5633333333333332,7.290000000000001,153.66666666666666,177.0,15.443333333333333,1011.1433333333331,267912
201810,10,18.612903225806456,13.05483870967742,34.354838709677416,59.348387096774175,10.954545454545455,1.5451612903225809,7.803225806451613,204.19354838709677,246.7741935483871,8.883870967741935,1016.1129032258063,325753
201811,11,13.153333333333336,7.793333333333335,32.733333333333334,57.47999999999999,8.78888888888889,1.3966666666666663,5.92,195.33333333333334,254.33333333333334,6.28,1021.4966666666664,194097
201812,12,4.087096774193548,-0.6064516129032259,26.483870967741936,45.75806451612903,2.733333333333334,1.803225806451613,6.4483870967741925,211.93548387096774,261.2903225806452,3.125806451612903,1025.1774193548388,258904
201901,1,4.087096774193548,-0.896774193548387,25.70967741935484,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,243.5483870967742,276.1290322580645,2.6999999999999997,1023.9354838709676,295344
201902,2,6.046428571428572,0.9857142857142855,26.0,47.31071428571427,2.644444444444444,1.8428571428571427,6.803571428571429,232.5,250.0,3.2071428571428564,1021.5678571428571,290328
201903,3,12.445161290322583,7.093548387096774,25.838709677419356,51.303225806451614,2.68,2.087096774193548,6.574193548387096,240.96774193548387,260.96774193548384,5.10967741935484,1013.9580645161291,165737
201904,4,17.639999999999997,12.120000000000001,27.366666666666667,50.943333333333335,3.6384615384615375,1.8766666666666665,7.386666666666667,227.66666666666666,216.66666666666666,7.17,1012.51,164391
201905,5,25.641935483870967,19.419354838709676,24.774193548387096,46.48709677419355,5.3999999999999995,2.0580645161290323,10.129032258064516,243.2258064516129,246.7741935483871,10.154838709677417,1009.1774193548388,307561
201906,6,27.706666666666663,22.503333333333334,38.63333333333333,60.60666666666666,5.2857142857142865,1.7366666666666668,7.836666666666667,192.66666666666666,224.0,16.05666666666667,1004.6099999999999,197532
201907,7,30.087096774193547,25.877419354838707,50.03225806451613,69.09354838709676,10.231578947368419,1.8290322580645166,4.841935483870966,177.74193548387098,203.8709677419355,22.635483870967743,1004.0612903225806,317321
201908,8,31.635483870967736,27.190322580645162,44.645161290322584,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,180.6451612903226,216.1290322580645,24.235483870967744,1004.6225806451615,478483
201909,9,27.100000000000005,22.64333333333333,44.13333333333333,65.27,10.753846153846155,2.183333333333333,5.63,320.3333333333333,221.66666666666666,17.83666666666667,1012.3466666666666,244301
201910,10,21.767741935483876,16.370967741935484,38.935483870967744,62.16451612903224,7.92857142857143,2.129032258064516,7.629032258064515,276.7741935483871,211.93548387096774,11.654838709677419,1016.6903225806452,289342
201911,11,12.933333333333334,7.579999999999999,33.13333333333333,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,182.66666666666666,245.0,6.103333333333334,1019.5899999999999,197011
201912,12,5.274193548387096,1.4161290322580642,37.12903225806452,57.754838709677415,1.1894736842105265,2.125806451612903,5.296774193548389,182.90322580645162,231.93548387096774,4.203225806451614,1022.5483870967741,268274
